Saint ID,Name,Also Known As,Gender,Rank / Type,Church Status,Family / Life State,Vocation,Life Experience,Virtue,Commonly Asked Intercessions,Region of Origin,Tradition of Veneration,Era,Century,Feast Day(s),Short Prayer (Intercession),Hymn / Apolytikion,Icon,Brief Life,Notes,Customs & Traditions,Works by the Saint,Works About the Saint,Video / Media,Sources
OS-0132,St. Nonnosus of Mount Soracte,Nonnosus the Wonderworker,Male,Venerable (Monastic); Wonderworker,Monastic,Single Adult,,,Humility; Patience,,Italy / Rome,Western (pre-schism),Byzantine,6th,Sep 2,"Venerable Father Nonnosus, pray to God for us.",,,An abbot of Mount Soracte in Italy whose miracles were recorded by St. Gregory the Great (c. 575),,,,,,Roman Martyrology
OS-0133,St. Hieu of Tadcaster,Hieu the Abbess,Female,Venerable (Monastic),Monastic,Single Adult,,,Humility; Obedience,,England,Western (pre-schism),Byzantine,7th,Sep 2,"Venerable Mother Hieu, pray to God for us.",,,Among the first women in Northumbria to receive the monastic habit; Abbess at Tadcaster in England (c. 657),,,,,,Latin Saints of the Orthodox Patriarchate of Rome
OS-0134,St. Agricola of Avignon,"Agricolus, Bishop of Avignon",Male,Hierarch; Venerable (Monastic),Clergy - Bishop,,,,Humility,,Gaul / France,Western (pre-schism),Byzantine,7th,Sep 2,"Holy Hierarch Agricola, pray to God for us.",,,A monk of Lerins who became Bishop of Avignon and is honored as its patron (c. 700),,,,,,Latin Saints of the Orthodox Patriarchate of Rome
OS-0135,St. Lolanus of Scotland,Lolan,Male,Hierarch,Clergy - Bishop,,,,Faith,,Scotland,Western (pre-schism),Byzantine,11th,Sep 2,"Holy Hierarch Lolanus, pray to God for us.",,,A bishop in Scotland (c. 1034); little of his life is recorded,,,,,,Latin Saints of the Orthodox Patriarchate of Rome
OS-0136,Sts. Anthony & Theodosius of the Kyiv Caves,Anthony and Theodosius of the Kiev Pechersk Lavra,Male,Venerable (Monastic),Monastic,Single Adult,,,Humility; Obedience; Love,,Ukraine,Russian,Byzantine,11th,Sep 2,"Venerable Fathers Anthony and Theodosius, pray to God for us.",,,The founders of the Kyiv Caves Lavra and fathers of monasticism in Rus'; Anthony reposed in 1073 and his disciple Theodosius in 1074,Their principal feasts are also kept on Jul 10 (Anthony) and May 3 (Theodosius),,,,,Synaxarion
OS-0137,St. Theodosius of Totma,Theodosius of Totma,Male,Venerable (Monastic),Monastic,Single Adult,,,Humility; Charity,,Rus' / Russia,Russian,Post-Byzantine,16th,Jan 28; Sep 2,"Venerable Father Theodosius, pray to God for us.",,,Founder of a monastery at Totma in northern Russia (d. 1568),Principal feast Jan 28 (repose); Sep 2 marks the uncovering of his relics.,,,,,"Synaxarion; OCA Synaxarion (oca.org), Jan 28"
OS-0138,New Hieromartyr Barsanuphius of Kyrillov,"Barsanuphius (Lebedev), Bishop of Kyrillov",Male,New Martyr; Hieromartyr,Clergy - Bishop,,,Persecution,Courage; Faith,,Rus' / Russia,Russian,Modern,20th,Sep 2,"Holy New-Hieromartyr Barsanuphius, pray to God for us.",,,"Bishop of Kyrillov, shot during the Soviet persecution (1918)",Among the Synaxis of New Martyrs and Confessors of Russia,,,,,Synaxarion
OS-0139,New Hieromartyr John Ivanov,"John Ivanov, Priest",Male,New Martyr; Hieromartyr,Clergy - Priest,,,Persecution,Courage; Faith,,Rus' / Russia,Russian,Modern,20th,Sep 2,"Holy New-Hieromartyr John, pray to God for us.",,,A priest martyred in the Soviet persecution (1918),Among the Synaxis of New Martyrs and Confessors of Russia,,,,,Synaxarion
OS-0140,New Martyr Seraphima of Therapontov,"Seraphima (Sulimova), Abbess",Female,New Martyr,Monastic,,,Persecution,Courage; Faith,,Rus' / Russia,Russian,Modern,20th,Sep 2,"Holy New-Martyr Seraphima, pray to God for us.",,,"Abbess of the Therapontov Convent, martyred in the Soviet persecution (1918)",Among the Synaxis of New Martyrs and Confessors of Russia,,,,,Synaxarion
OS-0141,New Martyrs of St. Cyril of White Lake Monastery,"Anatoly Barashkov, Nicholas Burlakov, Michael Trubnikov, Philip Marishev",Male,New Martyr,Layperson,,,Persecution,Courage; Faith,,Rus' / Russia,Russian,Modern,20th,Sep 2,"Holy New-Martyrs, pray to God for us.",,,Four laymen martyred with the clergy at the St. Cyril of White Lake Monastery (1918),Among the Synaxis of New Martyrs and Confessors of Russia,,,,,Synaxarion
OS-0142,New Hieromartyr Damascene of Starodub,"Damascene (Tsedrik), Bishop of Starodub",Male,New Martyr; Hieromartyr; Confessor,Clergy - Bishop,,,Persecution; Imprisonment,Courage; Faith; Perseverance,,Rus' / Russia,Russian,Modern,20th,Sep 2,"Holy New-Hieromartyr Damascene, pray to God for us.",,,"Bishop of Starodub, a confessor of the faith shot in the Soviet persecution (1937)",Among the Synaxis of New Martyrs and Confessors of Russia,,,,,Synaxarion
OS-0143,Nine New Hieromartyr Priests of 1937,"Euthymius Goryachev, John Melnichenko, John Smolichev, Vladimir Morinsky, Victor Basov, Basil Zelensky, Theodotus Shatokhin, Peter Novoselsky, Stephen Yaroshevich",Male,New Martyr; Hieromartyr,Clergy - Priest,,,Persecution,Courage; Faith,,Rus' / Russia,Russian,Modern,20th,Sep 2,"Holy New-Hieromartyrs, pray to God for us.",,,Nine priests martyred together in the Soviet persecution (1937),Among the Synaxis of New Martyrs and Confessors of Russia,,,,,Synaxarion
OS-0144,New Hieromartyr Herman of Vyaznikov,"Herman (Ryashentsev), Bishop of Vyaznikov",Male,New Martyr; Hieromartyr,Clergy - Bishop,,,Persecution; Imprisonment,Courage; Faith,,Rus' / Russia,Russian,Modern,20th,Sep 2,"Holy New-Hieromartyr Herman, pray to God for us.",,,"Bishop of Vyaznikov, martyred in the Soviet persecution (1937)",Among the Synaxis of New Martyrs and Confessors of Russia,,,,,Synaxarion
OS-0145,New Hieromartyr Stephen Ermolin,"Stephen Ermolin, Priest",Male,New Martyr; Hieromartyr,Clergy - Priest,,,Persecution,Courage; Faith,,Rus' / Russia,Russian,Modern,20th,Sep 2,"Holy New-Hieromartyr Stephen, pray to God for us.",,,A priest martyred in the Soviet persecution (1937),Among the Synaxis of New Martyrs and Confessors of Russia,,,,,Synaxarion
OS-0146,New Martyr Paul Elkyn,Paul Elkyn,Male,New Martyr,Layperson,,,Persecution,Courage; Faith,,Rus' / Russia,Russian,Modern,20th,Sep 2,"Holy New-Martyr Paul, pray to God for us.",,,A layman martyred in the Soviet persecution (1937),Among the Synaxis of New Martyrs and Confessors of Russia,,,,,Synaxarion
OS-0147,New Virgin-Martyr Xenia,Xenia,Female,New Martyr,Layperson,,,Persecution,Courage; Faith; Purity,,Rus' / Russia,Russian,Modern,20th,Sep 2,"Holy New-Martyr Xenia, pray to God for us.",,,A woman martyred in the Soviet persecution (1937),Among the Synaxis of New Martyrs and Confessors of Russia,,,,,Synaxarion
OS-0148,St. Phoebe the Deaconess,Phoebe of Cenchreae,Female,Righteous,,,,,Charity; Hospitality; Faith,,Greece,Pan-Orthodox,Apostolic Age,1st,Sep 3,"Holy Deaconess Phoebe, pray to God for us.",,,"A deaconess of the church at Cenchreae near Corinth, commended by the Apostle Paul in his Epistle to the Romans",Honored among the first deaconesses of the Church,,,,,Synaxarion; Romans 16
OS-0149,Hieromartyr Aristion of Alexandria,"Aristion (Kelladion), Bishop of Alexandria Scabiosa",Male,Hieromartyr; Hierarch,Clergy - Bishop,,,Persecution,Faith; Courage,,Syria,Pan-Orthodox,Pre-Nicene,2nd,Sep 3,"Holy Hieromartyr Aristion, pray to God for us.",,,"Bishop of Alexandria Scabiosa (modern Iskenderun), martyred for the faith (c. 167)",,,,,,Synaxarion
OS-0150,Hieromartyr Anthimus of Nicomedia,"Anthimus, Bishop of Nicomedia",Male,Hieromartyr; Hierarch,Clergy - Bishop,,,Persecution,Faith; Courage; Perseverance,,Asia Minor,Greek; Pan-Orthodox,Pre-Nicene,4th,Sep 3,"Holy Hieromartyr Anthimus, pray to God for us.",,,"Bishop of Nicomedia, beheaded in the great persecution of Diocletian (302) while shepherding his flock through their sufferings",,,,,,Synaxarion
OS-0151,Martyrs of Nicomedia: Theophilus the Deacon & Companions,"Dorotheus, Mardonius, Migdonius, Peter, Indes, Gorgonius, Zeno, Domna, Euthymius",Male & Female,Hieromartyr; Martyr,,,,Persecution; Torture,Courage; Faith,,Asia Minor,Pan-Orthodox,Pre-Nicene,4th,Sep 3,"Holy Martyrs of Nicomedia, pray to God for us.",,,A company of the court and clergy of Nicomedia martyred with St. Anthimus under Diocletian (302),"Named with them: Dorotheus, Mardonius, Migdonius, Peter, Indes, Gorgonius, Zeno, the virgin Domna, and Euthymius",,,,,Synaxarion
OS-0152,Martyr Basilissa of Nicomedia,Vasilissa the child-martyr,Female,Martyr; Child-Saint,Layperson,Child,,Persecution; Torture,Courage; Faith; Purity,Children,Asia Minor,Pan-Orthodox,Pre-Nicene,4th,Sep 3,"Holy Martyr Basilissa, pray to God for us.",,,"A girl of nine who overcame scourging, fire, and the beasts under Diocletian and gave up her soul in prayer (309)",,,,,,Synaxarion
OS-0153,"Martyrs Zeno, Chariton & Archontius",,Male,Martyr,,,,Persecution; Torture,Courage; Faith,,Asia Minor,Pan-Orthodox,Pre-Nicene,4th,Sep 3,"Holy Martyrs Zeno, Chariton, and Archontius, pray to God for us.",,,Martyrs of Nicomedia who perished by molten lead and boiling lime,,,,,,Synaxarion
OS-0154,Venerable Theoctistus of Palestine,"Theoctistus, fellow-ascetic of St. Euthymius the Great",Male,Venerable (Monastic); Ascetic,Monastic,Single Adult,,,Humility; Obedience; Self-Control,,Palestine / Holy Land,Pan-Orthodox,Byzantine,5th,Sep 3,"Venerable Father Theoctistus, pray to God for us.",,,"Co-founder, with St. Euthymius the Great, of a lavra in the Judean desert (d. 451)",,,,,,Synaxarion
OS-0155,Righteous Emperor Constantine the New,Heraclius Constantine; Constantine III,Male,Right-believing (Ruler),Layperson,Married; Parent,Ruler,,Faith,,Constantinople,Greek; Pan-Orthodox,Byzantine,7th,Sep 3,"Holy Right-believing Emperor Constantine, pray to God for us.",,,A Byzantine emperor (d. 641) honored among the saints and buried in the Church of the Holy Apostles,,,,,,Synaxarion
OS-0156,Right-believing King Tervel of Bulgaria,Trivelius Theoktist; Khan Tervel,Male,Right-believing (Ruler),Layperson,,Ruler; Soldier,War,Courage; Faith,Protection from Danger,Bulgaria,Bulgarian,Byzantine,8th,Sep 3,"Holy Right-believing King Tervel, pray to God for us.",,,"The Bulgarian ruler whose forces helped break the Arab siege of Constantinople in 717-718, defending Christendom (d. c. 721)",,,,,,Synaxarion
OS-0157,"Virgin-Martyrs Euphemia, Dorothy, Thecla & Erasma",the virgin-martyrs of Aquileia,Female,Martyr,Layperson,,,Persecution; Torture,Courage; Faith; Purity,,Italy / Rome,Western (pre-schism),Apostolic Age,1st,Sep 3,"Holy Virgin-Martyrs, pray to God for us.",,,"Four virgins martyred by the sword at Aquileia under Nero, later venerated in Venice and Ravenna",,,,,,Roman Martyrology
OS-0158,St. Mansuetus of Toul,"Mansuy, Bishop of Toul",Male,Hierarch; Confessor,Clergy - Bishop,,,,Faith,,Gaul / France,Western (pre-schism),Byzantine,4th,Sep 3,"Holy Hierarch Mansuetus, pray to God for us.",,,Bishop of Toul in Gaul and confessor (c. 350),,,,,,Latin Saints of the Orthodox Patriarchate of Rome
OS-0159,St. Ambrose of Sens,"Ambrose, Bishop of Sens",Male,Hierarch,Clergy - Bishop,,,,Faith,,Gaul / France,Western (pre-schism),Byzantine,5th,Sep 3,"Holy Hierarch Ambrose, pray to God for us.",,,Bishop of Sens in Gaul (c. 455),,,,,,Latin Saints of the Orthodox Patriarchate of Rome
OS-0160,St. Mac Nisse of Connor,Macanisius,Male,Hierarch; Venerable (Monastic),Clergy - Bishop,Single Adult,,,Faith; Humility,,Ireland,Western (pre-schism),Byzantine,6th,Sep 3,"Holy Hierarch Mac Nisse, pray to God for us.",,,First bishop-abbot of Connor in Ireland; by tradition baptized in infancy by St. Patrick (d. 514),,,,,,Latin Saints of the Orthodox Patriarchate of Rome
OS-0161,St. Auxanus of Milan,"Auxanus, Bishop of Milan",Male,Hierarch,Clergy - Bishop,,,,Faith,,Italy / Rome,Western (pre-schism),Byzantine,6th,Sep 3,"Holy Hierarch Auxanus, pray to God for us.",,,Bishop of Milan (d. 568),,,,,,Latin Saints of the Orthodox Patriarchate of Rome
OS-0162,St. Maurilius of Cahors,"Maurilius, Bishop of Cahors",Male,Hierarch,Clergy - Bishop,,,,Faith; Wisdom,,Gaul / France,Western (pre-schism),Byzantine,6th,Sep 3,"Holy Hierarch Maurilius, pray to God for us.",,,"Bishop of Cahors in Gaul, said to have known all of Scripture by heart (d. 580)",,,,,,Latin Saints of the Orthodox Patriarchate of Rome
OS-0163,St. Natalis of Casale,"Natalis, priest of Casale",Male,Righteous,Clergy - Priest,,,,Faith,,Italy / Rome,Western (pre-schism),Byzantine,6th,Sep 3,"Holy Father Natalis, pray to God for us.",,,A priest of Casale in Piedmont (6th c.),,,,,,Latin Saints of the Orthodox Patriarchate of Rome
OS-0164,"St. Gregory the Great, Pope of Rome",Gregory the Dialogist,Male,Hierarch,Clergy - Bishop,,Writer,,Humility; Wisdom; Mercy,,Italy / Rome,Western (pre-schism); Pan-Orthodox,Byzantine,7th,Mar 12; Sep 3,"Holy Hierarch Gregory the Dialogist, pray to God for us.",,,"Pope of Rome (d. 604), a monk and prolific teacher who sent the mission that converted England and shaped the Liturgy of the Presanctified Gifts",His principal feast is March 12; his Dialogues and Pastoral Rule are classics of the Church,,Dialogues; Pastoral Rule (Regula Pastoralis),,,Synaxarion; Roman Martyrology
OS-0165,St. Remaclus of Maastricht,"Remaclus, Bishop of Maastricht",Male,Hierarch; Venerable (Monastic),Clergy - Bishop,,,,Humility; Charity,,Gaul / France,Western (pre-schism),Byzantine,7th,Sep 3,"Holy Hierarch Remaclus, pray to God for us.",,,Abbot and founder of Stavelot and Malmedy who became Bishop of Maastricht (d. c. 663),,,,,,Latin Saints of the Orthodox Patriarchate of Rome
OS-0166,St. Aigulphus of Lerins & Companions,Ayou; with St. Frugentius and his monks,Male,Venerable-Martyr,Monastic,,,Persecution; Torture,Courage; Faith; Obedience,,Gaul / France,Western (pre-schism),Byzantine,7th,Sep 3,"Holy Venerable-Martyrs Aigulphus and companions, pray to God for us.",,,"Abbot of Lerins who, with four of his monks, was seized and martyred near Corsica — their tongues cut out and eyes plucked (c. 676)",,,,,,Roman Martyrology
OS-0167,St. Hereswith of Northumbria,Hereswitha; sister of St. Hilda of Whitby,Female,Venerable (Monastic),Monastic,Married; Widowed,,Widowhood,Humility; Faith,,England,Western (pre-schism),Byzantine,7th,Sep 3,"Venerable Mother Hereswith, pray to God for us.",,,"A Northumbrian princess, sister of St. Hilda, who after widowhood became a nun at Chelles in Gaul (c. 690)",,,,,,Latin Saints of the Orthodox Patriarchate of Rome
OS-0168,St. Regulus (Reol) of Reims,"Reol, Archbishop of Reims",Male,Hierarch; Venerable (Monastic),Clergy - Bishop,,,,Faith; Humility,,Gaul / France,Western (pre-schism),Byzantine,7th,Sep 3,"Holy Hierarch Regulus, pray to God for us.",,,A monk of Rebais who became Archbishop of Reims and founded the monastery of Orbais (d. 698),Distinct from St. Regulus of Tuscany (Sep 1),,,,,Latin Saints of the Orthodox Patriarchate of Rome
OS-0169,St. Hildebold of Cologne,"Hildebold, first Archbishop of Cologne",Male,Hierarch,Clergy - Bishop,,,,Faith,,Germany,Western (pre-schism),Byzantine,9th,Sep 3,"Holy Hierarch Hildebold, pray to God for us.",,,The first Archbishop of Cologne (d. 818),,,,,,Latin Saints of the Orthodox Patriarchate of Rome
OS-0170,Martyr Sandalus of Cordoba,Sandila,Male,Martyr,Layperson,,,Persecution,Courage; Faith,,Spain,Western (pre-schism),Byzantine,9th,Sep 3,"Holy Martyr Sandalus, pray to God for us.",,,A martyr put to death at Cordoba in Spain under the Moors (c. 855),,,,,,Roman Martyrology
OS-0171,"St. Edward the Martyr, King of England",Edward the Passion-bearer,Male,Passion-Bearer; Martyr; Right-believing (Ruler),Layperson,Single Adult,Ruler,Persecution,Faith; Forgiveness; Meekness,,England,Western (pre-schism),Byzantine,10th,Mar 18; Sep 3,"Holy Passion-bearer Edward, pray to God for us.",,,A young king of England treacherously murdered (978) and venerated as a passion-bearer; his principal feast is March 18,,,,,,Synaxarion
OS-0172,"St. Ioannicius II, Patriarch of Serbia",Joanikije II,Male,Hierarch; Wonderworker,Clergy - Bishop,,,,Faith; Humility,,Serbia,Serbian,Byzantine,14th,Sep 3,"Holy Hierarch Ioannicius, pray to God for us.",,,The first Patriarch of the Serbian Church and a wonderworker (d. 1354),,,,,,Synaxarion
OS-0173,Blessed John the Hairy of Rostov,"John the Hairy, Fool-for-Christ",Male,Fool-for-Christ,Layperson,Single Adult,,,Humility; Patience; Meekness,Mental Health,Rus' / Russia,Russian,Post-Byzantine,16th,Sep 3,"Blessed John, pray to God for us.",,,A fool-for-Christ of Rostov who bore reproach with patience (d. 1580),,,,,,Synaxarion
OS-0174,New-Martyr Polydorus of Cyprus,Polydorus of Leucosia (Nicosia),Male,New Martyr,Layperson,,Merchant,Persecution,Courage; Faith,,Cyprus,Greek,Post-Byzantine,18th,Sep 3,"Holy New-Martyr Polydorus, pray to God for us.",,,A young Cypriot who confessed Christ and was martyred at New Ephesus (1794),,,,,,New Martyrs of the Turkish Yoke
OS-0175,Venerable Neophyte & Meletie of Stanisoara,"the hermits of Stânișoara, Romania",Male,Venerable (Monastic); Ascetic,Monastic,Single Adult,,,Humility; Self-Control,,Romania,Romanian,Post-Byzantine,18th,Sep 3,"Venerable Fathers Neophyte and Meletie, pray to God for us.",,,Hermits of the Stânișoara skete in the Romanian mountains,,,,,,Synaxarion
OS-0176,New Hieromartyr Pimen of Vernensk,"Pimen (Belolikov), Bishop of Vernensk and Semirechensk",Male,New Martyr; Hieromartyr,Clergy - Bishop,,,Persecution,Courage; Faith,,Rus' / Russia,Russian,Modern,20th,Sep 3,"Holy New-Hieromartyr Pimen, pray to God for us.",,,"Bishop of Vernensk and Semirechensk, martyred in the Soviet persecution (1918)",Among the Synaxis of New Martyrs and Confessors of Russia,,,,,Synaxarion
OS-0177,New Hieromartyr Meletius of Issyk-Kul,"Meletius (Golokolosov), Hieromonk",Male,New Martyr; Hieromartyr,Clergy - Priest; Monastic,,,Persecution,Courage; Faith,,Rus' / Russia,Russian,Modern,20th,Sep 3,"Holy New-Hieromartyr Meletius, pray to God for us.",,,"A hieromonk of the Issyk-Kul Holy Trinity Monastery, martyred in the Soviet persecution (1918)",Among the Synaxis of New Martyrs and Confessors of Russia,,,,,Synaxarion
OS-0178,"New Hieromartyrs Sergius, Basil, Philip & Vladimir (1918)","Sergius Fenomenov, Basil Kolmikov, Philip Shatsky, Vladimir Dmitrievsky",Male,New Martyr; Hieromartyr,Clergy - Priest,,,Persecution,Courage; Faith,,Rus' / Russia,Russian,Modern,20th,Sep 3,"Holy New-Hieromartyrs, pray to God for us.",,,Four priests martyred in the Soviet persecution (1918),Among the Synaxis of New Martyrs and Confessors of Russia,,,,,Synaxarion
OS-0179,New Hieromartyrs Basil & Parthenius Krasivsky (1919),"Basil Krasivsky, Parthenius Krasivsky",Male,New Martyr; Hieromartyr,Clergy - Priest,,,Persecution,Courage; Faith,,Rus' / Russia,Russian,Modern,20th,Sep 3,"Holy New-Hieromartyrs Basil and Parthenius, pray to God for us.",,,Two priests martyred in the Soviet persecution (1919),Among the Synaxis of New Martyrs and Confessors of Russia,,,,,Synaxarion
OS-0180,New Hieromartyrs Andrew & Theophan (1920),"Andrew Dalnikov, Theophan Sokolov",Male,New Martyr; Hieromartyr,Clergy - Priest,,,Persecution,Courage; Faith,,Rus' / Russia,Russian,Modern,20th,Sep 3,"Holy New-Hieromartyrs Andrew and Theophan, pray to God for us.",,,Two priests martyred in the Soviet persecution (1920),Among the Synaxis of New Martyrs and Confessors of Russia,,,,,Synaxarion
OS-0181,New Hieromartyrs Vladimir & Michael (1921),"Vladimir Sadovsky, Michael Sushkov",Male,New Martyr; Hieromartyr,Clergy - Priest,,,Persecution,Courage; Faith,,Rus' / Russia,Russian,Modern,20th,Sep 3,"Holy New-Hieromartyrs Vladimir and Michael, pray to God for us.",,,Two priests martyred in the Soviet persecution (1921),Among the Synaxis of New Martyrs and Confessors of Russia,,,,,Synaxarion
OS-0182,New Hieromartyr Nicholas Sushchevsky,"Nicholas Sushchevsky, Priest",Male,New Martyr; Hieromartyr,Clergy - Priest,,,Persecution,Courage; Faith,,Rus' / Russia,Russian,Modern,20th,Sep 3,"Holy New-Hieromartyr Nicholas, pray to God for us.",,,A priest martyred in the Soviet persecution (1923),Among the Synaxis of New Martyrs and Confessors of Russia,,,,,Synaxarion
OS-0183,New Hieromartyr Euthymius Krygovich & Companions (1924),Euthymius Krygovich and four martyrs with him,Male,New Martyr; Hieromartyr,Clergy - Priest,,,Persecution,Courage; Faith,,Rus' / Russia,Russian,Modern,20th,Sep 3,"Holy New-Hieromartyr Euthymius and companions, pray to God for us.",,,A priest and four others martyred with him in the Soviet persecution (1924),Among the Synaxis of New Martyrs and Confessors of Russia,,,,,Synaxarion
OS-0184,New Hieromartyr Romanus Marchenko,"Romanus Marchenko, Priest",Male,New Martyr; Hieromartyr,Clergy - Priest,,,Persecution,Courage; Faith,,Rus' / Russia,Russian,Modern,20th,Sep 3,"Holy New-Hieromartyr Romanus, pray to God for us.",,,A priest martyred in the Soviet persecution (1929),Among the Synaxis of New Martyrs and Confessors of Russia,,,,,Synaxarion
OS-0185,New Hieromartyr Alexis Zinoviev,"Alexis Zinoviev, Priest",Male,New Martyr; Hieromartyr,Clergy - Priest,,,Persecution,Courage; Faith,,Rus' / Russia,Russian,Modern,20th,Sep 3,"Holy New-Hieromartyr Alexis, pray to God for us.",,,A priest martyred in the Soviet persecution (1937),Among the Synaxis of New Martyrs and Confessors of Russia,,,,,Synaxarion
OS-0186,New Hieromartyr Elias Bazhanov,"Elias Bazhanov, Priest",Male,New Martyr; Hieromartyr,Clergy - Priest,,,Persecution,Courage; Faith,,Rus' / Russia,Russian,Modern,20th,Sep 3,"Holy New-Hieromartyr Elias, pray to God for us.",,,A priest martyred in the Soviet persecution (1937),Among the Synaxis of New Martyrs and Confessors of Russia,,,,,Synaxarion
OS-0187,New Hieromartyr Peter Sorokin,"Peter Sorokin, Deacon of Alma-Ata",Male,New Martyr; Hieromartyr,Clergy - Deacon,,,Persecution; Imprisonment,Courage; Faith,,Rus' / Russia,Russian,Modern,20th,Sep 3,"Holy New-Hieromartyr Peter, pray to God for us.",,,A deacon of Alma-Ata who died a confessor of the faith (1953),Among the Synaxis of New Martyrs and Confessors of Russia,,,,,Synaxarion
OS-0188,"Blessed Peter of Uglich, Fool-for-Christ",Priest Peter of Uglich,Male,Fool-for-Christ,Clergy - Priest,,,,Humility; Meekness,,Rus' / Russia,Russian,Modern,19th,Sep 3,"Blessed Peter, pray to God for us.",,,A priest of Uglich who took up the way of foolishness-for-Christ (d. 1866),,,,,,Synaxarion
OS-0189,Holy Prophet Moses the God-seer,Moses the Lawgiver,Male,Prophet,Layperson,Married; Parent,Shepherd; Ruler,Exile,Humility; Faith; Meekness; Obedience,,Egypt,Pan-Orthodox,Old Testament,,Sep 4,"Holy Prophet Moses, pray to God for us.",,,"The God-seer who led Israel out of Egypt, received the Law on Mount Sinai, and beheld the Promised Land from Mount Nebo","Also commemorated on the Sunday of the Holy Forefathers and, with Elijah and Elisha, on Jul 20",,,,,Synaxarion; Exodus-Deuteronomy
OS-0190,Martyrs Thathuil & Bebaia of Edessa,,Male & Female,Martyr,Layperson,,,Persecution; Torture; Blindness,Courage; Faith; Repentance,,Syria,Pan-Orthodox,Pre-Nicene,2nd,Sep 4,"Holy Martyrs Thathuil and Bebaia, pray to God for us.",,,"A former pagan priest of Edessa converted by Bishop Barsimaeus, blinded and tortured, and his companion, martyred under Hadrian (c. 116)",,,,,,Synaxarion
OS-0191,Martyr Sarbellus of Edessa,Sharbel; Sarvillos,Male,Martyr,Layperson,,,Persecution; Torture,Courage; Faith; Repentance,,Syria,Pan-Orthodox,Pre-Nicene,2nd,Sep 4,"Holy Martyr Sarbellus, pray to God for us.",,,"A pagan high priest of Edessa who, converted to Christ, was martyred by stoning (also commemorated Jan 29)",,,,,,Synaxarion
OS-0192,Martyr Hermione of Ephesus,"Hermione, daughter of Philip the Deacon",Female,Martyr,Layperson,Single Adult,Physician,Persecution,Faith; Courage; Charity,Healing,Asia Minor,Pan-Orthodox,Pre-Nicene,2nd,Sep 4,"Holy Martyr Hermione, pray to God for us.",,,"A daughter of the Apostle Philip the Deacon, gifted in healing and prophecy, martyred at Ephesus (c. 117)",,,,,,Synaxarion
OS-0193,Sts. Theotimos & Theodoulos,the executioners converted by St. Hermione,Male,Righteous,Layperson,,,,Faith; Repentance,,Asia Minor,Pan-Orthodox,Pre-Nicene,2nd,Sep 4,"Holy Theotimos and Theodoulos, pray to God for us.",,,Two executioners who came to faith in Christ through St. Hermione and reposed in peace (c. 117),,,,,,Synaxarion
OS-0194,St. Petronius of Ephesus,"Petronius, disciple of St. John the Theologian",Male,Righteous,,,,,Faith,,Asia Minor,Pan-Orthodox,Pre-Nicene,2nd,Sep 4,"Holy Father Petronius, pray to God for us.",,,"A disciple, likely of St. John the Theologian, who met St. Hermione at Ephesus (2nd c.)",,,,,,Synaxarion
OS-0195,Martyrs Christodoula & Her Sons,"Urban, Prilidian, Epolonios",Male & Female,Martyr,Layperson,Parent,,Persecution; Loss of a Child,Courage; Faith,Children,,Pan-Orthodox,Pre-Nicene,3rd,Sep 4,"Holy Martyrs Christodoula and her sons, pray to God for us.",,,"A mother martyred with her three sons — Urban, Prilidian, and Epolonios (251)",,,,,,Synaxarion
OS-0196,Hieromartyr Babylas of Antioch,"Babylas, Bishop of Antioch, with three youths",Male,Hieromartyr; Hierarch,Clergy - Bishop,,,Persecution,Courage; Faith; Zeal,,Syria,Pan-Orthodox,Pre-Nicene,3rd,Sep 4,"Holy Hieromartyr Babylas, pray to God for us.",,,"Bishop of Antioch who barred an emperor stained with blood from the church; martyred with three young students, Ammonius, Donatos, and Faustus (c. 251)",,,,,,Synaxarion
OS-0197,Martyr Babylas of Nicomedia & 84 Children,Babylas the teacher and his pupils,Male & Female,Martyr; Child-Saint,Layperson,Child,Teacher,Persecution,Courage; Faith; Purity,Children,Asia Minor,Pan-Orthodox,Pre-Nicene,4th,Sep 4,"Holy Martyr Babylas and the children with you, pray to God for us.",,,A Christian teacher martyred at Nicomedia together with his eighty-four young pupils,,,,,,Synaxarion
OS-0198,"Martyrs Theodore, Ammianus, Julian, Oceanus & Centurionus",,Male,Martyr,Layperson,,,Persecution; Torture,Courage; Faith,,Asia Minor,Pan-Orthodox,Pre-Nicene,3rd,Sep 4,"Holy Martyrs Theodore and companions, pray to God for us.",,,Martyrs of Nicomedia whose feet were cut off and who were cast into the fire under Maximian (288),,,,,,Synaxarion; Roman Martyrology
OS-0199,"Martyrs Kegourus, Secundinus, Secundus & Their Mother Jerusalem",the martyrs of Veria,Male & Female,Martyr,Layperson,Parent,,Persecution,Courage; Faith,,Greece,Pan-Orthodox,Pre-Nicene,,Sep 4,"Holy Martyrs and their mother Jerusalem, pray to God for us.",,,A mother and her sons martyred at Veria (Berea) in Macedonia,,,,,,Synaxarion
OS-0200,Martyr Charitina of Amisus,,Female,Martyr,Layperson,Single Adult,,Persecution; Torture,Courage; Faith; Purity,,Asia Minor,Pan-Orthodox,Pre-Nicene,4th,Oct 5; Sep 4,"Holy Martyr Charitina, pray to God for us.",,,A virgin-martyr of Amisus on the Black Sea (c. 304); her principal feast is October 5,,,,,,Synaxarion
